Gene,CgB41,CgB44,Cg15m1,Cg15m2,Cg30m1,Cg30m2,Cg45m1,Cg45m2,Cg1h1,Cg1h2,Cg1.5h1,Cg1.5h2,Cg2h1,Cg2h2,Cg3h1,Cg3h2,Cg4h1,Cg4h2,Cg6h1,Cg6h2,Cg8h1,Cg8h2
gene-GWK60_A00979,4.99710518181637,5.04549019922138,3.69889852809804,3.49083568539857,2.66791187197023,1.93561914903763,3.5428385005086,3.48423831662961,4.60914488624286,4.65733045379183,4.94515546262444,4.88730562114244,5.14843387506705,5.22385288255558,4.96683828401482,5.10259305220418,4.81162810418607,4.70097793276171,4.55129633790708,4.72579953961965,4.52248553527903,4.47522073620185
gene-GWK60_A01001,5.20828088915308,5.08547608197877,6.06358288157182,5.90453882115418,6.22593047200742,6.27994414473157,6.83634996732439,6.8022379485697,7.7721449264197,7.7002479909234,8.02150810392401,7.91916096595302,8.0483661625444,8.0077318191381,7.04226617923875,7.5111623682771,6.79661944782768,7.03567477776177,6.89360247036247,6.84123911320529,6.93785453726744,6.88320284090914
gene-GWK60_A01023,6.55352639714983,6.52828370157109,6.86661652036806,6.86131271331072,6.59012626767544,6.50522977191735,7.24691864558699,7.30913251498279,7.69211179998604,7.70963930031804,7.89801047793157,7.78322712119732,7.99641402148132,7.9193015858289,7.80251517179812,7.71642927134787,7.5426205056831,7.50531628948698,7.38298318184249,7.45697252240482,7.31860508405155,7.41014948402032
gene-GWK60_A01045,5.45432227492088,5.40701696456303,4.58451605536504,4.67669649271724,5.29482561230666,5.19486247004226,4.73891340764494,4.84092091142807,4.11714782839322,4.16007601362802,3.63210941431253,3.53002194711606,3.82003512656838,3.90920060740179,4.36639562888893,4.4987679323457,4.57185378837138,4.31308154089888,4.33228991484877,4.43555631772465,4.29949520816534,4.2310721502701
gene-GWK60_A01067,5.39761511122738,5.49475992750882,4.48568532097935,4.41070694781169,4.63293459259411,4.26581845877712,4.23767878161259,4.16971625184623,4.09566882564702,4.19169567941564,4.80624810760091,4.76969636285844,5.19344098322965,5.23232537358109,5.91920358278508,5.65417558000648,5.33417236319093,5.4255375191887,5.2645554689156,5.39592097727595,5.19543675788565,4.50356687978362
gene-GWK60_A01089,5.50335151942521,5.46273147415241,5.64482588821704,5.80487047497027,5.76368211458843,5.59637835350982,5.33600481069577,5.28389850037259,4.79719899942538,4.76334444209073,4.22576808849417,4.38470571270844,5.00686686831637,5.1294611535978,4.20371364421365,5.5863551206179,5.01276279170891,5.30532542506647,5.44534296853838,5.51746071594315,5.13815831595916,5.05785853456183
gene-GWK60_A01111,7.1673629427883,7.23268456740637,5.61841104226927,5.51580350954265,4.83186734676628,4.71442645444011,5.77231999673744,5.65547000103433,5.67819216517758,5.66072635322951,6.18110782896115,5.98883833142048,6.03440698307477,6.00523530754416,5.98870583448402,5.99964670696241,5.98130821676774,6.081459766366,6.14190887723263,6.42076276360835,6.38258726083642,6.16401373818079
gene-GWK60_A01133,6.58940978372513,6.59351797657803,7.70031425830552,7.73941326628805,8.53219714239497,8.36967844522513,9.33602322169671,9.24507747094843,9.3190436517069,9.24459324644349,9.06626845785773,9.02492289737141,7.89898104446101,7.90479719771264,5.65317473556055,5.43825016875974,4.58379734924964,4.47272520492,3.90377443317988,4.12379432635661,4.06429102276448,4.03288903866594
gene-GWK60_A01155,5.38686747949553,5.60890611368804,10.0083564386835,10.105432721392,11.5201375771508,11.2368406917391,12.394239157299,12.3535560948309,12.7187560929464,12.6752778544523,13.1042940077393,13.0111645099661,12.9328490510516,12.8822503834156,12.2540953687419,12.7205238212144,12.695101609617,12.6144052342114,12.7531302551174,13.0208514279619,13.211366877643,13.1956294547153
gene-GWK60_A01177,5.02365027341337,5.07950087501112,5.59323902135538,5.48820800127972,4.95474113771548,4.83425120878585,5.11690845897002,5.37041847973924,5.71387970445122,5.73047931444893,6.26061205317526,6.25586785901815,6.30156189423634,6.37264146647175,6.60017402003862,6.57820780473787,6.53283380292938,6.65629444176762,6.94237957691668,7.08038951150856,7.40519863870682,7.22000449671944
gene-GWK60_A01199,4.28770180201867,4.37427888902234,5.35190678314255,5.21405577828448,4.61415911796415,4.07751990740198,5.27104920930127,5.54625481884312,5.90256564513324,5.78241224360007,5.58899756374318,5.83825232167871,5.56130441821368,5.63020547295129,4.81246881224592,5.50863564575508,5.39666374447919,5.33455310558507,5.36934611091242,5.40930169764159,5.5602691091194,5.2154126034777
gene-GWK60_A01221,4.27246774389935,4.68942531943147,4.75175575805984,4.74478272448892,5.0493101469758,5.19643707040149,6.00011454197046,5.89484696482907,6.85344797581974,6.82730918057505,7.45434408791501,7.46163812362285,7.5036548220592,7.49247157334415,7.01480835673409,7.17911893782098,6.99124298602544,6.98053456004543,7.35430320810093,7.4828548026592,7.83451894898513,7.68813590062109
