gene_id,yH1053.Scer.noPi.0m.rep1,yH1053.Scer.noPi.0m.rep2,yH1053.Scer.noPi.15m.rep1,yH1053.Scer.noPi.15m.rep2,yH1053.Scer.noPi.30m.rep1,yH1053.Scer.noPi.30m.rep2,yH1053.Scer.noPi.45m.rep1,yH1053.Scer.noPi.45m.rep2,yH1053.Scer.noPi.60m.rep1,yH1053.Scer.noPi.60m.rep2,yH1053.Scer.noPi.90m.rep1,yH1053.Scer.noPi.90m.rep2,yH1053.Scer.noPi.120m.rep1,yH1053.Scer.noPi.120m.rep2,yH1053.Scer.noPi.180m.rep1,yH1053.Scer.noPi.180m.rep2,yH1053.Scer.noPi.240m.rep1,yH1053.Scer.noPi.240m.rep2,yH1053.Scer.noPi.360m.rep1,yH1053.Scer.noPi.360m.rep2,yH1053.Scer.noPi.480m.rep1,yH1053.Scer.noPi.480m.rep2,yH1053.Scer.mock.30m.rep1,yH1053.Scer.mock.30m.rep2,yH1053.Scer.mock.60m.rep1,yH1053.Scer.mock.60m.rep2
YAL012W,10.476571390031978,11.076367586996895,10.19928239114852,11.083880721068343,9.996366479677873,10.825644445429178,10.59928655803653,10.76171003581316,10.063060878716561,10.633990673809576,10.045309870278908,10.717652819753624,10.219056370984218,10.830041133834655,9.451374046012125,10.133470090663966,9.36884100983446,9.622736649194936,8.911657745385718,9.135806871538716,8.698284176068569,9.028125739963098,11.475860779709446,11.886713164815514,11.346256052558005,11.894428542357588
YAL013W,9.609201328600012,9.7159355061123,9.100854549941632,9.910694079288138,9.452292224572687,9.782451706164865,9.625828773978807,9.720008195268294,9.510931731852711,9.478826132746628,9.12806307401662,9.544242801623534,9.581047889067912,9.726371463293207,9.23373647396545,9.520693594155938,9.264341481864745,9.529983819101721,9.525546100003119,9.774223074717323,9.651162211584971,9.772601397677917,10.107929752127134,9.507775539145118,9.549236431937434,9.51247242540609
YAL014C,9.213876651183503,9.708880377737241,9.159228616125052,9.540901747880197,9.409653936156015,9.563467185014199,9.707040953021645,9.515543733689109,9.215823169948917,9.478472888724678,8.78110071651255,9.35746498522626,9.380759966310485,9.428182634716443,8.932166697161621,9.076272442155817,9.115086584454403,9.206789787161407,9.380703224908643,9.620213878988782,9.636625392896066,9.725035015017182,9.620622239925213,9.710681664249424,9.292217077982269,9.260098301017024
YAL015C,8.853395027642232,8.64264523362797,9.322274321114234,9.326938708199279,9.656030485520821,9.577699433111912,9.630880392779337,9.347361251315531,9.481611045020436,9.416996005546956,9.19415745726778,9.236859733734812,9.252163127162161,9.073493568104933,9.209635821434976,8.967548883567433,9.270069137619986,9.267327053756457,9.408402400637147,9.237991018971497,9.32537091820527,9.162888312149223,9.408548787192617,9.252439336365683,9.149222969890989,9.216009360380907
YAL016W,11.642803565346956,11.634590068955378,12.180382850435263,12.278135261161594,12.05477489636569,12.284828100824,12.048080937886574,12.22049614768598,11.936887294294404,11.968024158557323,11.822597882208111,11.885492469120612,11.743949398037271,11.790159761524613,11.782008781077602,11.795620567895783,11.896064112755075,11.901017460359094,12.318995749869424,12.257294070097721,12.359138420375594,12.43789574192049,11.80838218099233,12.058994617479113,11.624635295758926,11.814261127926919
YAL017W,10.509526308799348,10.33792928209566,11.267488463682476,11.297590759248807,11.460977591419713,11.631824413912442,11.745747051030218,11.52811486403849,11.361562112161309,11.167438686038029,10.992427955058119,10.889540135000502,11.104015628061726,10.828843060772835,11.239283353119957,10.977651961839111,11.451110259941794,11.390586883598061,12.041801289261393,11.803359848277887,12.183399199654035,12.024601420562158,11.005152685282336,10.894497615377947,10.751316825465267,10.473036317558773
YAL018C,1.6083319340708189,1.949044944986655,2.0387911864005313,1.6045344205090994,1.805928823896457,1.882277461928178,1.614789819772459,1.6106615975688066,1.7810637162257188,1.8675469500274595,2.1347926135127615,1.9129141122003304,2.016454182800381,1.7878320949846151,2.034187136603461,2.1386647029914836,2.374919966348665,1.9705188093174457,2.0773082337699016,2.584093114225173,2.3340916446349222,2.5318356665811352,1.695480163728109,1.6102548129897782,1.8192681023393196,1.9738337521873832
YAL019W,10.446416981532494,10.254851425446118,9.525275093901827,9.264717502650024,9.450531395372344,9.571550012226096,9.285886561366148,9.390115992225999,9.912968646330437,9.880748274442189,10.242441294890138,10.097479308139025,9.934539499776138,9.80010853609135,10.103935667566905,10.099219697460976,9.477844015285159,9.413938892355802,8.973079342127026,9.027052682981601,9.166396743082917,8.843933874420872,10.40269317599091,10.45631130591226,10.74093855916917,10.73646117149606
YAL020C,9.06901968483088,9.100639821869441,9.376388318089374,9.191882832303106,8.754160691634242,8.993316860780153,9.174958696987694,9.206812097719633,9.03642403576086,9.093627622065153,9.369702599452669,9.267174855135426,9.05498771353905,9.44655749026389,8.777287245300977,8.966837850892567,9.022881770648722,9.067433124651409,9.363463185167735,9.39288515156307,9.554614763747058,10.182419816756841,9.613229135148782,9.19238781283673,9.248622197892349,9.452605589288094
YAL021C,10.12590753679474,10.152441428901092,8.985105789029452,9.865973375024007,9.859560548187519,10.285523839973733,10.090915181304657,10.108851418055574,10.221525393026422,9.82228378370337,9.512441530864214,9.910093884090756,9.999705899748834,9.90021895511219,9.973580048624223,10.1059874170071,9.660089943999612,9.821524408490026,9.63695285214161,9.952017042771981,9.634978780879608,9.483393617423644,10.156332411185314,10.098893036885075,10.35631075649002,10.248101037609752
YAL022C,10.301153221819554,10.440510745474615,9.617225302559037,10.138994448966965,10.470328680635005,10.611162104712967,10.598033544612905,10.603241224576253,10.486151038694198,10.570516599726002,9.92311740161436,10.292957549710533,10.155997156964562,10.264840238964307,9.88746808008457,10.117740650197035,9.859468831576336,9.874276792960908,9.258334166963621,9.551542095171893,8.86781052840617,8.849674480323994,10.694549979676985,10.614675845131059,10.386812144404338,10.473125312243598
YAL023C,12.629607486958857,12.734083603031296,11.77602262986477,12.059324344167363,11.710653521222946,11.997680488128037,11.965919408316967,12.060661006540148,11.975792933498942,11.919231211338438,12.006333898336052,12.294702710082486,12.183112155457815,12.252901050391639,11.797186761880782,12.143869580499,11.499120067061389,11.547110922879778,10.46593511586904,10.650456313825217,9.948788655039866,9.904537776092209,12.18879223923671,12.211167905585976,12.528850608678958,12.679935730096085
YAL024C,8.605036066496975,8.425780036603074,7.6607666385399,8.265835052974012,8.199368799921102,8.62291289581754,8.080228161701505,8.443320111930921,8.260623155475605,8.311164355797848,8.725144598143427,8.594733514461165,8.43524925672973,8.561345664972345,8.703789274123277,8.753751030725121,8.253260677193794,8.337790619777264,7.36649992213957,7.524377673362241,7.247752269269431,7.428537622510913,8.067871316920874,8.228729231605705,8.742794663280302,8.788463570507783
YAL025C,10.432955999877278,10.313095002101296,8.894240632574807,7.889332976275035,7.885933000256373,7.551495353447126,8.071975054297974,8.070047931728064,9.186131289221981,9.184738831917272,10.061206279409397,9.402288667323603,9.433500950145572,9.605071226535763,9.829753686662675,9.727656546391298,8.73099436853453,8.835768419012513,8.270772226101029,8.422689137656295,7.782179206842383,8.091800595753288,10.218611062842248,9.994343288621709,10.59466845065667,10.639306089107595
YAL026C,10.999885512264527,10.927564769805633,10.619019291408177,10.67938103015368,11.057037464377535,11.220122803843791,11.00743551145106,11.03094588115568,11.078031920750789,10.881972841035893,10.978124628143986,10.819461848051047,10.952014903728896,10.79518395283707,11.022464138672001,11.003614241826373,10.851431744195814,10.797555185277064,10.714668785049964,10.742721163068344,10.53855508608684,10.445997088437542,10.767728184262475,11.076152170672087,10.975736610502032,11.089161221311315
