gene_id,yH545.Scer.noPi.0m.rep1,yH545.Scer.noPi.0m.rep2,yH545.Scer.noPi.0m.rep3,yH545.Scer.noPi.15m.rep1,yH545.Scer.noPi.15m.rep2,yH545.Scer.noPi.15m.rep3,yH545.Scer.noPi.30m.rep1,yH545.Scer.noPi.30m.rep2,yH545.Scer.noPi.30m.rep3,yH545.Scer.noPi.45m.rep1,yH545.Scer.noPi.45m.rep2,yH545.Scer.noPi.45m.rep3,yH545.Scer.noPi.60m.rep1,yH545.Scer.noPi.60m.rep2,yH545.Scer.noPi.60m.rep3,yH545.Scer.noPi.90m.rep1,yH545.Scer.noPi.90m.rep2,yH545.Scer.noPi.90m.rep3,yH545.Scer.noPi.120m.rep1,yH545.Scer.noPi.120m.rep2,yH545.Scer.noPi.120m.rep3,yH545.Scer.noPi.180m.rep1,yH545.Scer.noPi.180m.rep2,yH545.Scer.noPi.180m.rep3,yH545.Scer.noPi.240m.rep1,yH545.Scer.noPi.240m.rep2,yH545.Scer.noPi.240m.rep3,yH545.Scer.noPi.360m.rep1,yH545.Scer.noPi.360m.rep2,yH545.Scer.noPi.360m.rep3,yH545.Scer.noPi.480m.rep1,yH545.Scer.noPi.480m.rep2,yH545.Scer.noPi.480m.rep3,yH545.Scer.mock.30m.rep1,yH545.Scer.mock.30m.rep2,yH545.Scer.mock.30m.rep3,yH545.Scer.mock.60m.rep1,yH545.Scer.mock.60m.rep2,yH545.Scer.mock.60m.rep3
YAL001C,10.357733584853616,10.342919931363644,10.303574056214146,10.437383311165688,10.31720801724298,10.34169075705493,10.48232812272605,10.21324208571833,10.617179377096585,10.482405068021379,10.405314696506233,10.310440118717048,10.3650780226814,10.372210176163138,10.30478152579927,10.383101692313035,10.266070760018287,10.362457457064671,10.525055346346724,10.448671809324722,10.547590834033427,10.5542569921801,10.82306475372391,10.620378011418529,10.777588155884336,10.722054334985849,10.840123116278304,10.822698549375028,10.521152278107797,10.545611221244538,10.744470723560141,10.573083606494336,10.547651564099635,10.124976071103545,10.56362615419895,10.374591080285247,10.587296190813346,9.9684157499925,10.157447980490058
YAL002W,9.786121619449013,9.81267274300984,9.82962658634228,10.089968820419257,10.317201916047068,10.477940726217788,10.312883451693908,10.134831597426983,10.376509047507042,10.10605511168442,10.310111094445457,10.204518376710226,10.016515936520152,10.27883944193351,9.932235773722152,9.929208686870778,9.999219530793383,9.925829101092274,10.187367312457445,10.230193733162404,10.24375896083996,10.481136259411318,10.864895784657687,10.558801862771618,10.63797322331645,10.905671160087413,10.777720802368128,11.111046035676738,11.075180416962773,11.026999127856094,11.253903369129873,11.426151478102684,11.128826684027928,9.731319383740606,10.363285516163595,10.044477132707513,10.286484576296806,9.819562502080139,9.98035656211557
YAL003W,15.283918692774094,15.175946735731564,15.205262965969457,14.753974162765065,14.460891216723702,14.457852678061435,14.145552869093676,14.615625395467577,14.028380134149833,14.175851016991246,14.35604124206561,14.240068601015306,14.736605532631488,14.52632223559983,14.692341139455007,14.889980386787274,15.00888946589141,14.997023492431133,14.616622394076277,14.6976272687524,14.692949381228273,14.183434047193055,13.848745006416143,14.26046581186283,13.803999012914383,13.958046690245585,13.836454904027155,14.003990704551105,14.157629104526695,14.255251415958679,14.15337816214415,14.105560323942047,14.160326990990335,14.472127058679385,14.13720937047478,14.360599258658157,14.157423356028067,14.779122733602822,14.511768663971637
YAL005C,12.335329167077685,12.395672249712494,12.405892892694588,16.748262770707427,16.54060611243515,16.652585457920075,15.596917535002806,16.230791398904493,15.863577989757221,15.470829010565561,15.838853803302191,15.665282746297773,15.19155453808656,15.169109711375096,14.995208412472133,14.879298432919288,14.608381418782589,14.635345491832952,15.696614767271786,15.802956105819067,15.883908670406402,16.89214040685385,16.717432529046746,16.92862060641848,16.559527475306254,16.889890084472533,16.723196308742487,16.19825569966042,16.391505224362277,16.373450524948097,16.01096425990131,15.816339561615582,16.08720240737878,14.736035715252616,15.712939776653238,15.57233489452082,15.598574767778393,15.07794742745654,15.2490955426057
YAL007C,11.335836187722272,11.082794015309197,11.156697359226797,10.851219793793717,10.736454467686794,10.743980897999434,10.810137652542995,10.929084287967987,10.883639669385717,10.724413762106042,11.009348908808649,10.789255303371954,11.165147159726068,11.014234450806807,11.269371464507879,11.058321984925534,11.23378727589622,11.170197204126408,10.953791299968277,11.14549218027428,11.067355085826964,10.57921559354171,10.482932625939117,10.549341306664205,10.26926878016757,10.049741062557457,10.23912867788835,10.19682866208842,10.352628772444687,10.24868317201922,10.015311380495836,10.064547737993133,10.147362207614172,10.880670213531923,10.695977165352973,11.018089003126255,10.743906669654493,10.8946444239316,10.853909661760994
YAL008W,9.142397307911203,9.017603647795994,8.93037195485469,10.669291992686293,10.466809417835414,10.31493799824664,10.258430679016245,10.563510857228927,10.510545219872919,10.320424026005725,10.190690316173855,10.38166573350748,10.016705164512912,9.744960356477845,9.907035925755066,9.792126470547228,9.71524221614417,9.682063257103897,10.409974327515638,10.227976702806375,10.358483515683595,10.951238211406512,10.783508525277751,10.831807471422874,11.149230004438046,10.857478369159267,11.065209990901572,10.790507116250152,10.81356893281259,10.7438704700327,10.830089984158072,10.686310560022958,10.953823475719703,9.865693522043925,10.417539640169785,10.463192658411549,10.425427892004405,9.602693734337889,9.713797989961288
YAL009W,9.36324584482296,9.204687198554774,9.210909044660099,9.429730638086733,9.28171586199102,9.428415391072228,9.42452449591948,9.320516142865124,9.401874384297807,9.278937182658296,9.413845208914076,9.400964084249502,9.40305680725182,9.198729317693754,9.377738651273235,9.290768305333222,9.386144874584655,9.209200466105825,9.256524542893182,9.274129209819446,9.351865496490563,9.145250266060106,9.289387088810845,9.05764655506577,9.363390531229609,9.278689474859537,9.364415748163394,9.499649467484785,9.548976078967774,9.45332929196298,9.54548834825478,9.312974887339568,9.672749743149502,9.274772029857752,9.298229388579676,9.44321487777053,9.409673954757146,9.18448915239486,9.165309879934503
YAL010C,8.610240500790002,8.846715616895894,8.705488439740453,9.127524898935285,9.189589915430167,9.39829514570084,9.048068738666267,8.717686365862363,8.833740430790382,8.900519104171584,8.814858354537956,9.019587220937723,8.832011612684354,8.915670799303285,8.819621195512955,8.797325914020757,8.984876864908394,8.986886121216537,9.107803081354374,9.176593998603263,9.106842123030793,9.153067226316132,9.323822905565109,9.07250792482303,9.217651795545795,9.268705354585716,9.238839002374009,9.233542113996956,9.112964760588197,9.042179879608502,9.152220011081214,9.371537439061374,9.024732236839522,8.95600109903588,9.06068419875609,8.860228430861218,9.125848881359968,8.780767293150886,8.939767517382009
YAL011W,9.843458289401783,9.90585439680268,9.977902548181909,9.629992978341232,9.618372819448302,9.657199293001582,9.604594171819038,9.730298012082107,9.642635032154574,9.776580935552598,9.846190952154819,9.804613958161212,9.847929766550187,9.803488263880118,9.869047123650512,9.814568327268468,9.870785226639114,9.937753670443785,9.822498388068652,9.836033793283196,9.904240697860839,9.69226645256173,9.846946650617163,9.620222412437418,9.995091236640052,9.966834606314094,10.113956491251983,10.20174900839658,10.524699824985095,10.408651058761153,10.260722432427896,9.904574944541451,10.561731934401765,9.948372279514432,9.668373463988335,9.650459128467178,9.673377016130704,9.835010614643487,9.872979734507142
YAL012W,11.036179517658804,11.215470871112913,11.178713415342251,11.302397404786092,11.22960951777414,11.15580001011021,10.766213491496243,11.537449621714128,10.832342126180585,10.78132904523021,10.775359306529301,10.511749903656112,10.971144128654043,10.849871746964489,10.779619713834208,11.162741533053081,10.528513211371045,10.700305827939886,10.664530382908085,10.733667446090736,10.732606686923742,10.495288549833134,10.141901876469728,10.454460522315356,9.525980504550768,9.844627481928608,9.67283970439051,9.526361650497229,9.919345330422294,9.811075833477112,9.894110053242883,9.56612191413078,9.947426116653105,11.12156489307884,10.923624135213426,10.963755402484095,10.723396964767934,11.585837654969671,11.385068666262166
YAL013W,9.608361276844313,9.747072585504077,9.616937845252439,10.071535781279966,10.047524997898359,9.93493824997068,9.695223158519866,10.18158507850733,9.786920616117207,9.810538289407102,9.552455305657832,9.592653069956587,9.693052179003695,9.5427901107909,9.531018863201824,9.80840144591252,9.561859260345953,9.503240815911353,9.689898789170323,9.809901852786515,9.599608970299256,9.964989841778776,9.632551721500564,10.071613531416325,9.522266229824508,9.66392025583705,9.613513728929531,9.301605504314212,9.181701516034835,9.453687481026126,9.331481593615512,8.51115367246292,9.231240182266554,9.423375454256913,9.860495673358841,10.00113734201068,9.80170485958724,9.846479876794785,9.659156799893955
YAL014C,9.411032998657022,9.352516720889797,9.45966159658781,9.590263974168929,9.536675747434842,9.483858621867551,9.359794006949935,9.942739343399538,9.590448104443793,9.366627858933139,9.326557425792775,9.216926503827406,9.261169498977786,9.012885276802185,9.022398918089648,9.399631507319153,8.949827555587797,9.056685399928046,9.43683285434064,9.4596518330008,9.330672148957186,9.492702160724761,9.206164286764038,9.472502397463014,9.109966149861435,9.349835735102578,9.12978360756831,9.099526691185227,9.264314159586254,9.184966351012624,9.05187263986015,9.077912203358652,9.256280466433466,9.336589308217382,9.518222825210007,9.607404254351435,9.455331458434967,9.486910810228984,9.401725766199892
