Gene	ScB42	ScB43	Sc30m2	Sc30m4	Sc1h2	Sc1h4	Sc1.5h2	Sc1.5h4	Sc2h2	Sc2h4	Sc2.5h2	Sc2.5h4	Sc3h2	Sc3h4	Sc3.5h2	Sc3.5h4	Sc4h2	Sc4h4	Sc6h2	Sc6h4	Sc8h2	Sc8h4
gene-YAL036C	7.65359245014459	7.68773306224725	5.50673272329051	5.56816856149126	7.59844591702811	7.58068314654349	7.56514560003423	7.62583572152343	7.00859833608949	7.0796103930539	5.80906472157427	6.34442309030277	5.33412881866635	5.00979512844501	5.4238809796529	5.34427491060392	5.4281683363741	5.71526009438515	5.84907456269921	6.02121977262054	6.34639972279958	6.40362208969053
gene-YAL037W	2.55814033219732	2.9696633953941	1.74317198921684	1.54634400343226	2.06003251819683	2.76174994805526	2.43886980281214	2.42657917070697	2.46537373075522	2.80633509145151	2.63818279539828	2.90323236737577	3.31515377051322	3.11180379443019	3.37535896421393	3.31343939915942	3.72777381418841	3.76681053246888	3.948312193336	3.91682445934884	4.14715961090322	4.36085720796686
gene-YAL038W	13.4783542530426	13.4223165901335	12.9274699166821	13.0161535555129	13.0494785276133	13.1236470689524	13.1229424087314	13.2066836509966	13.3413034082355	13.4251615262988	13.5284378054191	13.6277712020259	13.7612612413264	13.818205623365	13.8619476931232	13.821206530181	13.9105686285719	13.9385649420865	13.7700370744933	13.8344478632805	13.5330680776758	13.7971192028484
gene-YAL039C	5.29950972079201	5.19738128682649	6.28095256840195	6.46434261558886	5.86877968213141	6.08054648806434	5.31995094445225	5.26869952619746	5.77375308961739	6.04540252663038	6.28223619382433	6.19964375986732	6.53464466943092	6.4632268221411	6.30927341516777	6.53642333863261	6.45767047292626	6.48033328877559	6.35164552016639	6.40079781914319	6.35140233985067	6.4308209774469
gene-YAL040C	6.76584725574597	6.79430817456219	6.46977849247214	6.48994691158625	6.68072798024768	6.75361507525456	6.55434883666113	6.50913137175888	6.82062118753704	6.6521034186437	6.80336157347569	6.8583839358963	6.87589010643343	6.87740514869609	6.76346113112474	6.83074862794755	6.65383468419643	6.76843408173881	6.47430320151575	6.64136305020462	6.12825093082523	6.82092986738033
gene-YAL041W	7.01448893241487	7.00137034185445	7.11763957563765	6.94942029931283	7.08079527143043	7.11523241775723	7.00333292766197	7.06910133289762	7.04209976066088	6.86275867862225	6.88550623008907	6.99549648716866	6.9004534384532	6.95238222605264	7.06045582909169	6.97788915693798	6.85065676128557	6.96669342733058	6.82958256096767	6.84672361796979	6.85330276438056	6.80802211463397
gene-YAL042W	8.69167866067491	8.70033652883277	8.5417046387445	8.5736205889111	8.68900831844191	8.76099774381917	8.60224617860351	8.58739563342808	8.63288702978668	8.77803669034379	8.58163094137972	8.57941822668321	8.43190760291305	8.47650199399197	8.4834169632354	8.43671276025269	8.30701937392208	8.41479228539747	8.06501964194737	8.11422906714333	7.85385219042176	8.02989286451471
gene-YAL043C	6.51179420387095	6.54676880497821	6.89276206899741	6.94646423229748	7.02477764707809	7.10072433306413	6.85317368816846	6.86061851425454	6.72071488397894	6.8108360014894	6.72354580287325	6.78958683770116	6.73093969635651	6.57216850975202	6.66803680286277	6.55412331005204	6.55197010590824	6.43679894168982	6.36227483487499	6.51819189012362	6.48941045890946	6.55653372325622
gene-YAL044C	7.5190330796975	7.58684626874299	8.14456948272449	8.19454720379346	8.69339159821188	8.67856258363523	8.36327952788657	8.27340526913652	8.47012553513186	8.6537997502343	8.73790254924717	8.5963011818362	8.84201824968741	8.88474097436344	8.76968321781548	8.82903218531893	8.53458466403434	8.68785897396444	7.95852305762228	8.10145119704132	7.60850738224151	7.8234736841639
gene-YAL044W-A	4.64899359766703	4.79728319713402	4.84614738730829	4.85053800841431	5.0554007889609	5.18687071576618	4.87661213791026	5.10967740462181	4.78056749362854	5.16491632954686	4.96624948669754	4.9907717926449	5.03015261088611	4.92674697531798	5.02738968693065	5.1249568541496	5.22131314744534	5.17810935700516	5.43574736813012	5.41456132044446	5.54412863672358	5.49349479000815
