Gene	CaB41	CaB44	Ca15m1	Ca15m2	Ca30m1	Ca30m2	Ca45m1	Ca45m2	Ca1h1	Ca1h2	Ca1.5h1	Ca1.5h2	Ca2h1	Ca2h4	Ca2.5h1	Ca2.5h4	Ca3h1	Ca3h2	Ca3.5h1	Ca3.5h4	Ca4h1	Ca4h3	Ca6h1	Ca6h3	Ca8h1	Ca8h2
CaalfMp13	-2.38139816357457	-2.40171804863404	-2.16803666951765	-2.98922081904638	-2.42316205755775	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.48287833000203	-0.900679895428151	0.048624322105674	-1.35637173800646	-1.8658451802901	2.74574263373548	-1.17661155429411	-2.406919530382	-2.25359309305163	-1.3261166916296	0.230191623497098	-1.34081478687266	-1.09287268518653	0.707761867060951	1.16371182486934	-1.5174539551517
CaalfMp14	-2.98922081904638	-1.66272345426623	-0.503501955803158	-2.98922081904638	-1.44231678624784	-2.43530018356023	-2.98922081904638	-2.36898948670221	-2.03953477159183	-2.37981788508312	-2.10881814004587	-1.32529116838033	-0.0265686296705812	-1.13061890730534	-1.42154461059857	1.95063045570334	-2.48455460757976	-2.406919530382	-1.11718511227092	-1.59677753001385	-1.23414101508213	-0.325380449882563	-0.183942182476925	0.266159732345077	0.197553440401559	-1.8632992351582
CaalfMr16	5.44430945592902	4.73232803673205	6.84646860799341	3.29009036831496	4.70052536325057	3.14763546382763	4.06322355664651	4.66218883633822	3.67429983131151	4.92978831874979	4.92828112348025	6.42917292107131	7.51159646087057	6.55333391720006	5.70967334405176	6.23386740878495	6.42480245526169	5.66570031889146	6.83357861130804	6.86234899603495	7.00477181963844	7.4775224868051	7.25194434033788	8.42933083835255	9.04771307733452	6.82939759021393
CaalfMr17	3.63218775510424	3.11630792433604	4.95110417943308	1.0267354693831	2.9429159543877	1.27791979893191	2.17971233783939	3.03131415256283	1.71947475099432	3.44836171471011	3.01228147956066	4.91832194146233	5.90639777605042	4.74346066248752	4.13673364256917	4.91875233302215	4.62048175699238	4.15258437429205	5.01338035193393	5.27835376936532	5.31960805289556	5.54345718202199	5.82185165462492	6.99633130880745	7.80991255056915	4.80974801676452
orf19.10	2.77747142384088	2.52601448505103	2.17636679754671	2.00617123924493	0.351198788856919	0.0963938454337301	-0.651480485337711	0.272903524121863	0.37738437839434	0.83256002456985	0.945778122828576	1.36967209269525	1.53969810928583	1.63365357862904	1.7618329106079	3.04444000877737	1.35166703276968	1.81042211702659	1.1505797955219	1.76586247032279	1.77259360340568	1.38590842972591	2.41626078900928	2.34506172734311	2.74154208406866	2.78687304230602
orf19.100	4.34465896628667	4.5340449871478	3.50191478004142	3.3156186098389	2.92003031591727	3.02552506425633	3.1697908034437	3.37959097275431	3.11922037280837	2.97652744978572	3.33349280370419	3.22405810563081	3.73742539004218	3.42101741915927	3.77421628518023	3.86543785784436	4.07426091624137	4.22683609548586	4.09845129204073	4.2077881232866	4.5658796325459	4.45751728298163	4.60895778539015	4.72619580392521	4.67234945549014	4.63054952505825
orf19.1002	4.68529282665697	4.4695543652692	4.40134438988795	4.3886938879653	4.06225749671498	4.05070161525048	4.46919640518591	4.38958090550001	4.65035328467295	4.61778849768053	5.07903465271871	5.29720113406256	5.12929965999352	5.17312702978447	5.15578902837432	5.09107229045588	5.28528294258157	4.93824676428291	4.93225847460099	4.96205507203263	5.00947221188574	4.8793054250687	4.95354417451126	4.72150118452373	4.76049175196422	4.81357285383432
orf19.1005	-1.62640172106296	-0.0757348029136084	-0.503501955803158	0.113264574762513	-0.713084864526251	-0.368923303217043	-0.272061883672395	-0.911044879477201	0.310726671500108	-0.934800824937054	0.535734625956815	0.201858964146517	1.78859836733116	1.7517225371659	2.78747625443828	3.63933732627973	3.72311598356295	3.6467171664025	3.98102420238463	3.86744051038349	4.17877225099257	4.24445199179392	5.32330782516081	5.33347485907931	5.25217754852279	5.093888736563
orf19.1007	4.77842337877982	4.69430654093032	5.34652394947324	5.27413857614953	5.43325272736473	5.43547938789718	5.62105374382514	5.64521187449037	6.19621521738523	6.09956485397401	7.50995653822519	7.55960460901853	8.10834593706205	8.05137774441001	8.39109243117371	8.00210795080315	8.21667415101542	8.17239613717302	8.05296592753666	7.96086988549017	7.94227458529277	7.85934524651929	8.06751776474818	7.90563704061415	7.88836580220444	8.00643198252611
orf19.1009	-2.38139816357457	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.01767013308025	-2.98922081904638	-2.98922081904638	-2.36898948670221	-2.03953477159183	-2.98922081904638	-0.863716439665694	-0.72757770243235	-0.852445804650072	-0.763580423286049	-1.42154461059857	1.00757882462871	-0.868085870251115	-1.18757451732515	-0.489476266566779	-0.901602497548937	-0.194571075497782	0.417785531693699	0.119061269553198	-0.670288339685364	0.197461711405788	-0.470777201272573
